date,total_usd_millions,cumulative_usd_millions
2025-07-21,-131.4,54593.59999999992
2025-07-22,-68.0,54525.59999999992
2025-07-23,-85.8,54439.799999999916
2025-07-24,226.7,54666.49999999991
2025-07-25,130.8,54797.299999999916
2025-07-26,0.0,54797.299999999916
2025-07-27,0.0,54797.299999999916
2025-07-28,157.1,54954.399999999914
2025-07-29,80.0,55034.399999999914
2025-07-30,47.1,55081.49999999991
2025-07-31,-114.8,54966.69999999991
2025-08-01,-812.3,54154.39999999991
2025-08-02,0.0,54154.39999999991
2025-08-03,0.0,54154.39999999991
2025-08-04,-323.5,53830.89999999991
2025-08-05,-196.2,53634.69999999991
2025-08-06,91.6,53726.29999999991
2025-08-07,277.4,54003.69999999991
2025-08-08,403.9,54407.59999999991
2025-08-09,0.0,54407.59999999991
2025-08-10,0.0,54407.59999999991
2025-08-11,178.1,54585.69999999991
2025-08-12,65.9,54651.59999999991
2025-08-13,86.9,54738.49999999991
2025-08-14,230.8,54969.299999999916
2025-08-15,-14.1,54955.19999999992
2025-08-16,0.0,54955.19999999992
2025-08-17,0.0,54955.19999999992
2025-08-18,-121.7,54833.49999999992
2025-08-19,-523.3,54310.19999999992
2025-08-20,-315.9,53994.299999999916
2025-08-21,-194.4,53799.899999999914
2025-08-22,-23.2,53776.69999999992
2025-08-23,0.0,53776.69999999992
2025-08-24,0.0,53776.69999999992
2025-08-25,219.1,53995.799999999916
2025-08-26,88.1,54083.899999999914
2025-08-27,81.4,54165.299999999916
2025-08-28,178.9,54344.19999999992
2025-08-29,-126.7,54217.49999999992
2025-08-30,0.0,54217.49999999992
2025-08-31,0.0,54217.49999999992
2025-09-01,0.0,54217.49999999992
2025-09-02,332.8,54550.29999999992
2025-09-03,0.0,54550.29999999992
